Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12_MULTIPLE_CHOICE,Q17,Q18,Q20,Q22,Q23,Q24,Q25,Q26,Q32,Q37,Q40,Q43,Q46,Q48
Female,3,United States of America,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,2726,I do not know,"Local or hosted development environments (RStudio, JupyterLab, etc.)",Java,Python,Other,ggplot2,4,5,2,5,Time Series Data,DataCamp,Independent projects are equally important as academic achievements,0-10,10-20,I am confident that I can explain the outputs of most if not all ML models
Male,1,India,Master’s degree,Mathematics or statistics,Student,I am a student,0-1,682,I do not know,"Advanced statistical software (SPSS, SAS, etc.)",SQL,R,Other,Other,4,5,4,2,Other,Coursera,Independent projects are slightly more important than academic achievements,20-30,20-30,I am confident that I can understand and explain the outputs of many but not all ML models
Male,0,India,Master’s degree,"Information technology, networking, or system administration",Other,Other,0-1,2696,"We recently started using ML methods (i.e., models in production for less than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,Keras,Matplotlib,4,2,2,1,Image Data,Udacity,Independent projects are slightly more important than academic achievements,0,10-20,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,5,United States of America,Master’s degree,Engineering (non-computer focused),Data Scientist,Other,5-10,132826,"We recently started using ML methods (i.e., models in production for less than 2 years)","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Java,Python,Scikit-Learn,Other,4,5,7,2,Other,Udacity,Independent projects are much less important than academic achievements,0,0,I am confident that I can understand and explain the outputs of many but not all ML models
Male,2,United States of America,Bachelor’s degree,Mathematics or statistics,Research Assistant,Academics/Education,1-2,35826,We are exploring ML methods (and may one day put a model into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,Python,TensorFlow,Matplotlib,3,4,3,4,Time Series Data,Other,Independent projects are much more important than academic achievements,30-40,40-50,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
Male,4,United States of America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Other,Military/Security/Defense,5-10,124197,No (we do not use ML methods),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Python,SQL,Scikit-Learn,Matplotlib,3,6,3,5,Tabular Data,Coursera,Independent projects are equally important as academic achievements,10-20,20-30,I am confident that I can understand and explain the outputs of many but not all ML models
Male,3,United States of America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Insurance/Risk Assessment,2-3,91621,We use ML methods for generating insights (but do not put working models into production),"Local or hosted development environments (RStudio, JupyterLab, etc.)",Python,SQL,Scikit-Learn,Matplotlib,1,4,6,2,Tabular Data,Coursera,Independent projects are slightly more important than academic achievements,10-20,80-90,I am confident that I can understand and explain the outputs of many but not all ML models
Male,3,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,5-10,70260,"We recently started using ML methods (i.e., models in production for less than 2 years)","Advanced statistical software (SPSS, SAS, etc.)",Python,Python,Scikit-Learn,Seaborn,2,5,7,2,Other,Coursera,Independent projects are slightly more important than academic achievements,0,0-10,I am confident that I can understand and explain the outputs of many but not all ML models
Male,3,India,Bachelor’s degree,Engineering (non-computer focused),Other,Other,2-3,8865,No (we do not use ML methods),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Python,Python,Keras,ggplot2,0,1,1,2,Other,Other,Independent projects are slightly more important than academic achievements,Other,Other,Other
Female,3,United States of America,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Computers/Technology,2-3,82046,"We recently started using ML methods (i.e., models in production for less than 2 years)","Local or hosted development environments (RStudio, JupyterLab, etc.)",SQL,Python,Other,Matplotlib,3,4,3,4,Numerical Data,Coursera,Independent projects are slightly less important than academic achievements,0-10,20-30,I am confident that I can understand and explain the outputs of many but not all ML models
